user_idx,gender,age,note_idx,note_title,note_content,image_paths
16,female,31-35,1739813,170mL发廊理发梳染发瓶烫发药水瓶泡泡染梳,"上新啦,170mL发廊理发梳,染发瓶,烫发药水上色瓶子,泡泡染发瓶",./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_74/746817/3347833.jpg|./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_74/746817/3347834.jpg|./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_74/746817/3347835.jpg|./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_74/746817/3347836.jpg|./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_74/746817/3347837.jpg|./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_74/746817/3347838.jpg
16,female,31-35,1545593,"男士四周头发长得快,用渐变梳子在家就能剪","男士遇到最多的问题就是,四周特别容易长。可是去修一下也要收全头的💰。用渐变梳子无需技术,在家自己就能剪,可以节约很多钱💰和时间。 #梳子推荐[话题]# #梳子[话题]# #便携梳子[话题]# #随身梳子[话题]# #barbershop[话题]# #男士发型[话题]# #BLENDFREND[话题]##居家理发[话题]##在家理发[话题]#",./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_65/651024/2887858.jpg
16,female,31-35,896289,两用理发梳,#理发[话题]# #儿童理发[话题]# #好物推荐[话题]# #居家好物[话题]# #提升幸福感的家居好物[话题]#,
16,female,31-35,1121715,理发梳测评,"有了这个梳子,就能自己在家理发了?#测评#理发#梳子#开箱#美发工具",
16,female,31-35,886071,砂糖橘和龚氏小橘子,"#蝴蝶兰[话题]# 颜色上更喜欢砂糖橘,亮丽的橘色,但是它的长势特别不好,不太好养。小橘子颜色偏暗一些,但是很好养花量大,能续花有香味。",./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_100/1007349/4535070.jpg|./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_100/1007349/4535071.jpg|./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_100/1007349/4535072.jpg|./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_100/1007349/4535073.jpg|./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_100/1007349/4535074.jpg|./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_100/1007349/4535075.jpg|./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_100/1007349/4535076.jpg
16,female,31-35,1275936,🍊砂糖橘,"跨属杂交 Asco Irene Dobkin 'Elmhurst' HCC/AOS 无香,花多,花径4cm 难养。 喜光照(千代兰和朵丽蝶的属间交配) 稳定养殖位置,开始发育以后, 不要挪地儿!!!!不然随时僵苗 根系需要透气,非常需要 颜色吧,没有想象的那么美 饱和度带来的感受不如mini mark 胜在花量吧 是一款不太推荐的花,主要还是太难养了。。 (从无花的壮苗买来,一年内前后抢救了好几次) #蝴蝶兰[话题]# #我爱绿植[话题]# #我爱热植[话题]# #砂糖橘[话题]# #砂糖橘蝴蝶兰[话题]#",./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_108/1086706/4876098.jpg|./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_108/1086706/4876099.jpg|./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_108/1086706/4876100.jpg|./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_108/1086706/4876101.jpg|./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_108/1086706/4876102.jpg
16,female,31-35,1069879,今日种草的蝴蝶兰,分别是砂糖橘 桃之夭夭和粉墨安娜 拔了一棵砂糖橘 剩下两颗我忍......太好看了[色色R]图片都是来自小红书花友的,./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_55/556291/2412956.jpg|./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_55/556291/2412957.jpg|./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_55/556291/2412958.jpg
16,female,31-35,1079562,"养兰一年,已经没有哪个品种出梗能让我惊喜",[生气R]除了砂糖橘![抓狂R]它今年终于出梗了! #蝴蝶兰[话题]# #蝴蝶兰出花剑[话题]# #蝴蝶兰分享[话题]# #趣味蝴蝶兰[话题]# #洋兰[话题]#,
16,female,31-35,817222,砂糖橘蝴蝶兰有着秋天的色彩,"#Ascps[话题]#. Irene Dobkin 'Elmhurst'HCC/AOS 这个英文名字有点长,2年前买的宝宝苗,这是初花,属于小花型,开了也有半个月了,颜色没有什么变化,淡香,叶子硬挺而亮,很特别 #砂糖橘[话题]# 蝴蝶兰 #我的蝴蝶兰[话题]# #蝴蝶兰养护[话题]# #我的养花日常[话题]# #生活记录 #分享片刻[话题]#",./images/mnt/ali-sh-1/usr/lihaitao/process_0106/image/part_65/656839/2918670.jpg
16,female,31-35,1559151,砂糖橘 调整植料改善花朵畸|超两年养护记录,#兴趣加一计划[话题]# #我的养花日常[话题]# #蝴蝶兰[话题]# #蝴蝶兰养护[话题]# #砂糖橘蝴蝶兰[话题]# #小橘花蝴蝶兰[话题]#,
